GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bk-lbda,com.grandapp.exceptions,OperationNotAllowedException,4,0,0,0,2,0,1,0,1,0
bk-lbda,com.grandapp.requestDto,AppointmentRequestDto,167,0,30,0,10,0,27,0,12,0
bk-lbda,com.grandapp.service.impl,BarberServiceImpl,32,3,0,0,8,1,4,1,4,1
bk-lbda,com.grandapp.service.impl,ClientServiceImpl,34,71,2,2,10,15,3,7,1,7
bk-lbda,com.grandapp.service.impl,AppointmentServiceImpl,358,7,28,0,75,2,28,2,14,2
bk-lbda,com.grandapp.response,GeneralResponse,52,0,0,0,23,0,11,0,11,0
bk-lbda,com.grandapp.response,ApiError,44,0,0,0,17,0,9,0,9,0
bk-lbda,com.grandapp.response,AppointmentResponseDto,124,0,22,0,3,0,21,0,10,0
bk-lbda,com.grandapp.dto,AppointmentDto,124,0,22,0,3,0,21,0,10,0
bk-lbda,com.grandapp,BkLbdaApplication,5,3,0,0,2,1,1,1,1,1
bk-lbda,com.grandapp.controller,AppointmentController,258,7,4,0,83,2,8,2,6,2
bk-lbda,com.grandapp.controller,BarberController,216,7,2,0,68,2,6,2,5,2
bk-lbda,com.grandapp.controller,ClientController,322,7,4,0,101,2,9,2,7,2
bk-lbda,config,SwaggerConfig,15,0,0,0,6,0,2,0,2,0
bk-lbda,com.grandapp.model,DetailsAppointmentModel,164,3,30,0,3,1,26,1,11,1
bk-lbda,com.grandapp.model,BarberModel,250,3,46,0,5,1,38,1,15,1
bk-lbda,com.grandapp.model,ClientModel,184,56,42,0,0,8,25,12,4,12
bk-lbda,com.grandapp.model,AppointmentModel,207,3,38,0,4,1,32,1,13,1
bk-lbda,com.grandapp.model,ServicesModel,212,3,30,0,5,1,30,1,15,1
